'Epoch (TDB)','TP (TDB)',e,'i (deg)','w (deg)','Node (deg)','q (AU)','Q (AU)','P (yr)','MOID (AU)','A1 (AU/d^2)','A2 (AU/d^2)','A3 (AU/d^2)','DT (d)'
53074,2453076.829,0.98164,6.337569,353.734133,323.490768,0.047951,5.18,4.22,0.031348,?,?,?,?
52248,2452348.706,0.925259,80.245055,116.419512,10.555296,0.994048,25.61,48.5,0.300836,?,?,?,?
52249,2452267.418,0.941373,115.91309,142.085757,113.355897,1.051065,34.81,75.91,0.145327,?,?,?,?
53575,2452522.684,0.985261,14.120629,45.723799,13.214215,0.047402,6.38,5.77,0.094044,?,?,?,?
53592,2452538.404,0.984862,13.574975,52.154945,50.195768,0.048799,6.4,5.79,0.114603,?,?,?,?
55968,2455952.953,0.776422,11.475808,217.677388,176.465099,0.57484,4.57,4.12,0.154232,?,?,?,?
53667,2453654.037,0.930297,160.03618,41.443534,25.422288,0.649399,17.98,28.44,0.157261,?,?,?,?
54203,2453697.986,0.982268,14.596276,49.400006,53.004871,0.05398,6.03,5.31,0.107655,?,-0,?,?
54046,2454102.782,0.843118,31.884499,117.413875,309.952163,1.226428,14.41,21.86,0.452907,?,?,?,?
54417,2454362.521,0.774834,9.895276,358.551572,3.994966,0.695863,5.49,5.43,0.156276,?,?,?,?
54846,2454887.597,0.734882,8.805149,162.364834,259.709684,1.27198,8.32,10.51,0.289617,?,?,?,?
55476,2454822.977,0.97875,23.345623,146.614161,312.552591,0.065414,6.09,5.4,0.044832,?,?,?,?
55023,2454973.255,0.62093,16.158514,346.954318,259.304757,1.296126,5.54,6.32,0.287493,?,?,?,?
55175,2455227.575,0.740297,9.592586,118.016389,31.758267,0.799956,5.36,5.41,0.009227,?,?,?,?
55379,2455309.645,0.903756,147.051681,214.729745,206.473099,0.790901,15.64,23.56,0.113609,?,?,?,?
55758,2455582.092,0.776521,15.272338,263.616967,296.09646,1.242926,9.88,13.12,0.380652,?,?,?,?
55857,2455860.848,0.931604,17.57253,192.189946,288.07011,1.115118,31.49,65.83,0.13779,?,?,?,?
56158,2456091.59,0.848062,84.375459,338.413916,315.763184,1.29189,15.71,24.79,0.315258,?,?,?,?
56475,2456511.432,0.722105,12.147632,211.972272,46.2098,0.800148,4.96,4.89,0.085523,?,?,?,?
56674,2456706.719,0.689914,9.365636,112.199132,3.362022,1.117672,6.09,6.84,0.20162,?,?,?,?
56974,2456937.65,0.602949,7.495593,35.25221,356.180679,1.164298,4.7,5.02,0.183671,?,?,?,?
57040,2457076.25,0.848168,172.513745,249.508614,277.082142,1.153857,14.05,20.95,0.204591,?,?,?,?
57073,2457073.248,0.994268,69.616289,234.953017,95.881385,0.028321,9.85,10.98,0.515916,0.000001,?,?,?
57110,2457141.343,0.962399,28.66103,352.058758,262.481614,1.209544,63.13,182.45,0.198704,?,?,?,?
57124,2457109.599,0.977734,149.256945,13.39233,287.739024,0.346005,30.73,61.26,0.441413,?,?,?,?
